post_id,GPT4o_mini,GPT4o,Llama3_3_70B,Llama3_1_8B,Claude_Sonnet_4_5,Claude_Haiku_4_5
9pzcwg,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
e877yc,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
aq1k0n,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
62bma1,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6y32b6,THREAT,THREAT,THREAT,,THREAT,THREAT
7727rm,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8uxg83,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cgsbof,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9gr4be,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
bq6036,DIPLOMACY,NEUTRAL,THREAT,HUMANITARIAN,NEUTRAL,NEUTRAL
a8edos,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,DIPLOMACY,HUMANITARIAN,HUMANITARIAN
8c83ml,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
8lox1x,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ccitjl,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8qnpwe,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6b0aij,NEUTRAL,NEUTRAL,NEUTRAL,,NEUTRAL,NEUTRAL
8c6db0,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ebb39x,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
e8m9s2,DIPLOMACY,THREAT,THREAT,THREAT,THREAT,NEUTRAL
78e1wc,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
e3onp3,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7j0017,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7z1w7g,THREAT,THREAT,THREAT,DIPLOMACY,NEUTRAL,NEUTRAL
737v3k,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
75hix9,HUMANITARIAN,THREAT,NEUTRAL,THREAT,THREAT,NEUTRAL
8e0bio,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8u9yaq,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7i3qte,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
7tiy6v,THREAT,NEUTRAL,THREAT,THREAT,NEUTRAL,THREAT
96wfzv,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
dxnbdd,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
778ppy,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
93avlg,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8fef4k,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6cvqq4,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6mhbap,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
65560r,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
d1lski,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
79pr0k,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7096lu,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8l6p0q,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bu5aq4,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8a1b7n,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
6gjpo8,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6l6r8m,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
84b96a,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6kjgk9,NEUTRAL,THREAT,THREAT,THREAT,NEUTRAL,NEUTRAL
8fojxl,THREAT,DIPLOMACY,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY
8hqh81,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
9csdnr,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
8wo02y,DIPLOMACY,THREAT,THREAT,THREAT,THREAT,DIPLOMACY
9sgwdi,NEUTRAL,THREAT,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
99kifd,NEUTRAL,THREAT,THREAT,THREAT,NEUTRAL,NEUTRAL
7szemx,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL,NEUTRAL
8lua26,DIPLOMACY,DIPLOMACY,THREAT,THREAT,DIPLOMACY,DIPLOMACY
5qxfkb,NEUTRAL,NEUTRAL,,,NEUTRAL,NEUTRAL
7itnnn,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
8lrsbp,THREAT,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6qgtej,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
6n7qqt,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8factj,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8ib3wa,NEUTRAL,DIPLOMACY,ECONOMIC,DIPLOMACY,DIPLOMACY,DIPLOMACY
7jg270,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8gjaym,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
8vmo5w,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ddlj9d,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7dz3jj,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bmjc0v,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7aojqo,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,ECONOMIC,HUMANITARIAN
cptwd6,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
75phec,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
btudnd,THREAT,THREAT,THREAT,NEUTRAL,THREAT,THREAT
6xilgq,THREAT,THREAT,THREAT,,THREAT,THREAT
disfnd,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
c9cgc7,DIPLOMACY,THREAT,THREAT,DIPLOMACY,THREAT,THREAT
6to66b,HUMANITARIAN,HUMANITARIAN,NEUTRAL,DIPLOMACY,HUMANITARIAN,HUMANITARIAN
agp7er,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8v07fo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
77g3vz,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
9h8xal,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7fxh8n,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8er7s6,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
5tjjb2,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8d4xj4,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7068te,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9u2oqx,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7wccwd,HUMANITARIAN,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
6j14j1,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8j2e06,THREAT,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY,NEUTRAL
8r6y3a,DIPLOMACY,DIPLOMACY,THREAT,DIPLOMACY,THREAT,NEUTRAL
9yfarg,NEUTRAL,NEUTRAL,NEUTRAL,,NEUTRAL,NEUTRAL
75plg7,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9hkec3,THREAT,DIPLOMACY,THREAT,THREAT,DIPLOMACY,DIPLOMACY
717hd9,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
btoi0v,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
8gbrcd,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
8qa7w7,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
74ruyt,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
dbe2aq,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8wto7b,DIPLOMACY,DIPLOMACY,DIPLOMACY,THREAT,DIPLOMACY,DIPLOMACY
acl2wg,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
cl1a1h,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6ymc8j,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
e6hdu1,THREAT,THREAT,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
8og5k5,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
aqasq6,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
abpeaw,NEUTRAL,NEUTRAL,HUMANITARIAN,HUMANITARIAN,NEUTRAL,NEUTRAL
939083,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8f76ii,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8ltqj8,NEUTRAL,THREAT,THREAT,,THREAT,THREAT
5rm393,DIPLOMACY,THREAT,THREAT,THREAT,THREAT,THREAT
cy630n,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
6xxa6j,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9i87a8,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7tukdb,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
94l71e,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
73lo7a,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7nb0kx,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ai4nwe,NEUTRAL,NEUTRAL,NEUTRAL,HUMANITARIAN,NEUTRAL,NEUTRAL
8kzh0u,THREAT,THREAT,ECONOMIC,ECONOMIC,NEUTRAL,NEUTRAL
cgyxis,THREAT,THREAT,,,THREAT,NEUTRAL
8d31v8,NEUTRAL,ECONOMIC,NEUTRAL,NEUTRAL,ECONOMIC,ECONOMIC
9eewzk,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9xo8qo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
e0eby9,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8fu775,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
dcpgj6,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
e5wtmh,NEUTRAL,NEUTRAL,NEUTRAL,HUMANITARIAN,NEUTRAL,NEUTRAL
9mtrjd,NEUTRAL,HUMANITARIAN,NEUTRAL,HUMANITARIAN,NEUTRAL,NEUTRAL
8ma1q8,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
91znva,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
dy4aal,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
aixflf,THREAT,DIPLOMACY,DIPLOMACY,THREAT,DIPLOMACY,DIPLOMACY
bekzs3,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
am3s8w,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6y2g27,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
74rzks,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8fvep5,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL,NEUTRAL
bs1l5r,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
71mnva,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ctegz4,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6ha9gy,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6xlzwr,THREAT,THREAT,THREAT,,THREAT,THREAT
7h5bp1,NEUTRAL,THREAT,THREAT,THREAT,THREAT,THREAT
8facnr,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
94c3bi,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY,NEUTRAL,NEUTRAL
dewf6n,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
al9xim,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
65zq8e,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8fadf6,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6wnocb,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
dwixsz,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
8qu5pw,THREAT,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,THREAT
8u7b06,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
7izoti,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
87xotj,DIPLOMACY,DIPLOMACY,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY
8tfqcn,HUMANITARIAN,HUMANITARIAN,THREAT,THREAT,HUMANITARIAN,HUMANITARIAN
bejx1i,NEUTRAL,,NEUTRAL,,NEUTRAL,NEUTRAL
8p44u4,NEUTRAL,THREAT,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL
cieeqt,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
c7dctk,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
5lq8ol,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
89zoo5,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7ui99c,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
82fd1v,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7k219p,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cgdwls,NEUTRAL,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,NEUTRAL
beky1a,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ehmogi,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8uxjch,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
92kns9,DIPLOMACY,DIPLOMACY,DIPLOMACY,,NEUTRAL,NEUTRAL
e4qug7,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9hlad0,NEUTRAL,NEUTRAL,NEUTRAL,HUMANITARIAN,NEUTRAL,NEUTRAL
6yep88,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8dz4bt,THREAT,THREAT,THREAT,DIPLOMACY,DIPLOMACY,NEUTRAL
6v0xo9,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
8khhjt,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
chem1j,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cxle1y,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN
dx8qi2,THREAT,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
6lfq2j,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
e7nn54,DIPLOMACY,THREAT,THREAT,THREAT,DIPLOMACY,DIPLOMACY
6yx42d,NEUTRAL,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
7v5nej,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
8ubmux,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7d46dh,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
b9deyl,THREAT,THREAT,THREAT,ECONOMIC,THREAT,THREAT
787dny,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6cdl5c,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7g7oo2,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6wmouu,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7h1fwx,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8nth8c,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7m17oj,THREAT,THREAT,THREAT,THREAT,,THREAT
6xicdb,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8n6og8,THREAT,THREAT,THREAT,,THREAT,THREAT
9hlbak,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
aa2mpp,NEUTRAL,THREAT,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
8gkcv8,THREAT,THREAT,THREAT,THREAT,DIPLOMACY,THREAT
6wpcot,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7pcaps,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
